"","Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9"
"71","Dispuesto","Soltero","No_tiene","Predispuesto","Parcial","No_realiza","Alta","Varias_salidas","Local"
"72","No_dispuesto","Soltero","No_tiene","Predispuesto","Parcial","No_realiza","Alta","Varias_salidas","Local"
"73","Dispuesto","Casado","Tiene","No_predispuesto","Parcial","No_realiza","Alta","Varias_salidas","Local"
"74","No_dispuesto","Casado","Tiene","No_predispuesto","Parcial","No_realiza","Alta","Varias_salidas","Local"
"75","Dispuesto","Soltero","Tiene","No_predispuesto","Parcial","No_realiza","Alta","Varias_salidas","Local"
"76","No_dispuesto","Soltero","Tiene","No_predispuesto","Parcial","No_realiza","Alta","Varias_salidas","Local"
"77","Dispuesto","Casado","No_tiene","No_predispuesto","Parcial","No_realiza","Alta","Varias_salidas","Local"
"78","No_dispuesto","Casado","No_tiene","No_predispuesto","Parcial","No_realiza","Alta","Varias_salidas","Local"
"79","Dispuesto","Soltero","No_tiene","No_predispuesto","Parcial","No_realiza","Alta","Varias_salidas","Local"
"80","No_dispuesto","Soltero","No_tiene","No_predispuesto","Parcial","No_realiza","Alta","Varias_salidas","Local"
"81","Dispuesto","Casado","Tiene","Predispuesto","Nulo","No_realiza","Alta","Varias_salidas","Local"
"82","No_dispuesto","Casado","Tiene","Predispuesto","Nulo","No_realiza","Alta","Varias_salidas","Local"
"83","Dispuesto","Soltero","Tiene","Predispuesto","Nulo","No_realiza","Alta","Varias_salidas","Local"
"84","No_dispuesto","Soltero","Tiene","Predispuesto","Nulo","No_realiza","Alta","Varias_salidas","Local"
"85","Dispuesto","Casado","No_tiene","Predispuesto","Nulo","No_realiza","Alta","Varias_salidas","Local"
"86","No_dispuesto","Casado","No_tiene","Predispuesto","Nulo","No_realiza","Alta","Varias_salidas","Local"
"87","Dispuesto","Soltero","No_tiene","Predispuesto","Nulo","No_realiza","Alta","Varias_salidas","Local"
"88","No_dispuesto","Soltero","No_tiene","Predispuesto","Nulo","No_realiza","Alta","Varias_salidas","Local"
"89","Dispuesto","Casado","Tiene","No_predispuesto","Nulo","No_realiza","Alta","Varias_salidas","Local"
"90","No_dispuesto","Casado","Tiene","No_predispuesto","Nulo","No_realiza","Alta","Varias_salidas","Local"
"91","Dispuesto","Soltero","Tiene","No_predispuesto","Nulo","No_realiza","Alta","Varias_salidas","Local"
"92","No_dispuesto","Soltero","Tiene","No_predispuesto","Nulo","No_realiza","Alta","Varias_salidas","Local"
"93","Dispuesto","Casado","No_tiene","No_predispuesto","Nulo","No_realiza","Alta","Varias_salidas","Local"
"94","No_dispuesto","Casado","No_tiene","No_predispuesto","Nulo","No_realiza","Alta","Varias_salidas","Local"
"95","Dispuesto","Soltero","No_tiene","No_predispuesto","Nulo","No_realiza","Alta","Varias_salidas","Local"
"96","No_dispuesto","Soltero","No_tiene","No_predispuesto","Nulo","No_realiza","Alta","Varias_salidas","Local"
"97","Dispuesto","Casado","Tiene","Predispuesto","Total","Realiza","Media","Varias_salidas","Local"
"98","No_dispuesto","Casado","Tiene","Predispuesto","Total","Realiza","Media","Varias_salidas","Local"
"99","Dispuesto","Soltero","Tiene","Predispuesto","Total","Realiza","Media","Varias_salidas","Local"
"100","No_dispuesto","Soltero","Tiene","Predispuesto","Total","Realiza","Media","Varias_salidas","Local"
"101","Dispuesto","Casado","No_tiene","Predispuesto","Total","Realiza","Media","Varias_salidas","Local"
"102","No_dispuesto","Casado","No_tiene","Predispuesto","Total","Realiza","Media","Varias_salidas","Local"
"103","Dispuesto","Soltero","No_tiene","Predispuesto","Total","Realiza","Media","Varias_salidas","Local"
"104","No_dispuesto","Soltero","No_tiene","Predispuesto","Total","Realiza","Media","Varias_salidas","Local"
"105","Dispuesto","Casado","Tiene","No_predispuesto","Total","Realiza","Media","Varias_salidas","Local"
"106","No_dispuesto","Casado","Tiene","No_predispuesto","Total","Realiza","Media","Varias_salidas","Local"
"107","Dispuesto","Soltero","Tiene","No_predispuesto","Total","Realiza","Media","Varias_salidas","Local"
"108","No_dispuesto","Soltero","Tiene","No_predispuesto","Total","Realiza","Media","Varias_salidas","Local"
"109","Dispuesto","Casado","No_tiene","No_predispuesto","Total","Realiza","Media","Varias_salidas","Local"
"110","No_dispuesto","Casado","No_tiene","No_predispuesto","Total","Realiza","Media","Varias_salidas","Local"
"111","Dispuesto","Soltero","No_tiene","No_predispuesto","Total","Realiza","Media","Varias_salidas","Local"
"112","No_dispuesto","Soltero","No_tiene","No_predispuesto","Total","Realiza","Media","Varias_salidas","Local"
"113","Dispuesto","Casado","Tiene","Predispuesto","Parcial","Realiza","Media","Varias_salidas","Local"
"114","No_dispuesto","Casado","Tiene","Predispuesto","Parcial","Realiza","Media","Varias_salidas","Local"
"115","Dispuesto","Soltero","Tiene","Predispuesto","Parcial","Realiza","Media","Varias_salidas","Local"
"116","No_dispuesto","Soltero","Tiene","Predispuesto","Parcial","Realiza","Media","Varias_salidas","Local"
"117","Dispuesto","Casado","No_tiene","Predispuesto","Parcial","Realiza","Media","Varias_salidas","Local"
"118","No_dispuesto","Casado","No_tiene","Predispuesto","Parcial","Realiza","Media","Varias_salidas","Local"
"119","Dispuesto","Soltero","No_tiene","Predispuesto","Parcial","Realiza","Media","Varias_salidas","Local"
"120","No_dispuesto","Soltero","No_tiene","Predispuesto","Parcial","Realiza","Media","Varias_salidas","Local"
"121","Dispuesto","Casado","Tiene","No_predispuesto","Parcial","Realiza","Media","Varias_salidas","Local"
"122","No_dispuesto","Casado","Tiene","No_predispuesto","Parcial","Realiza","Media","Varias_salidas","Local"
"123","Dispuesto","Soltero","Tiene","No_predispuesto","Parcial","Realiza","Media","Varias_salidas","Local"
"124","No_dispuesto","Soltero","Tiene","No_predispuesto","Parcial","Realiza","Media","Varias_salidas","Local"
"125","Dispuesto","Casado","No_tiene","No_predispuesto","Parcial","Realiza","Media","Varias_salidas","Local"
"126","No_dispuesto","Casado","No_tiene","No_predispuesto","Parcial","Realiza","Media","Varias_salidas","Local"
"127","Dispuesto","Soltero","No_tiene","No_predispuesto","Parcial","Realiza","Media","Varias_salidas","Local"
"128","No_dispuesto","Soltero","No_tiene","No_predispuesto","Parcial","Realiza","Media","Varias_salidas","Local"
"129","Dispuesto","Casado","Tiene","Predispuesto","Nulo","Realiza","Media","Varias_salidas","Local"
"130","No_dispuesto","Casado","Tiene","Predispuesto","Nulo","Realiza","Media","Varias_salidas","Local"
"131","Dispuesto","Soltero","Tiene","Predispuesto","Nulo","Realiza","Media","Varias_salidas","Local"
"132","No_dispuesto","Soltero","Tiene","Predispuesto","Nulo","Realiza","Media","Varias_salidas","Local"
"133","Dispuesto","Casado","No_tiene","Predispuesto","Nulo","Realiza","Media","Varias_salidas","Local"
"134","No_dispuesto","Casado","No_tiene","Predispuesto","Nulo","Realiza","Media","Varias_salidas","Local"
"135","Dispuesto","Soltero","No_tiene","Predispuesto","Nulo","Realiza","Media","Varias_salidas","Local"
"136","No_dispuesto","Soltero","No_tiene","Predispuesto","Nulo","Realiza","Media","Varias_salidas","Local"
"137","Dispuesto","Casado","Tiene","No_predispuesto","Nulo","Realiza","Media","Varias_salidas","Local"
"138","No_dispuesto","Casado","Tiene","No_predispuesto","Nulo","Realiza","Media","Varias_salidas","Local"
"139","Dispuesto","Soltero","Tiene","No_predispuesto","Nulo","Realiza","Media","Varias_salidas","Local"
"140","No_dispuesto","Soltero","Tiene","No_predispuesto","Nulo","Realiza","Media","Varias_salidas","Local"
"141","Dispuesto","Casado","No_tiene","No_predispuesto","Nulo","Realiza","Media","Varias_salidas","Local"
"142","No_dispuesto","Casado","No_tiene","No_predispuesto","Nulo","Realiza","Media","Varias_salidas","Local"
"143","Dispuesto","Soltero","No_tiene","No_predispuesto","Nulo","Realiza","Media","Varias_salidas","Local"
"144","No_dispuesto","Soltero","No_tiene","No_predispuesto","Nulo","Realiza","Media","Varias_salidas","Local"
"145","Dispuesto","Casado","Tiene","Predispuesto","Total","No_realiza","Media","Varias_salidas","Local"
"146","No_dispuesto","Casado","Tiene","Predispuesto","Total","No_realiza","Media","Varias_salidas","Local"
"147","Dispuesto","Soltero","Tiene","Predispuesto","Total","No_realiza","Media","Varias_salidas","Local"
"148","No_dispuesto","Soltero","Tiene","Predispuesto","Total","No_realiza","Media","Varias_salidas","Local"
"149","Dispuesto","Casado","No_tiene","Predispuesto","Total","No_realiza","Media","Varias_salidas","Local"
"150","No_dispuesto","Casado","No_tiene","Predispuesto","Total","No_realiza","Media","Varias_salidas","Local"
"151","Dispuesto","Soltero","No_tiene","Predispuesto","Total","No_realiza","Media","Varias_salidas","Local"
"152","No_dispuesto","Soltero","No_tiene","Predispuesto","Total","No_realiza","Media","Varias_salidas","Local"
"153","Dispuesto","Casado","Tiene","No_predispuesto","Total","No_realiza","Media","Varias_salidas","Local"
"154","No_dispuesto","Casado","Tiene","No_predispuesto","Total","No_realiza","Media","Varias_salidas","Local"
"155","Dispuesto","Soltero","Tiene","No_predispuesto","Total","No_realiza","Media","Varias_salidas","Local"
"156","No_dispuesto","Soltero","Tiene","No_predispuesto","Total","No_realiza","Media","Varias_salidas","Local"
"157","Dispuesto","Casado","No_tiene","No_predispuesto","Total","No_realiza","Media","Varias_salidas","Local"
"158","No_dispuesto","Casado","No_tiene","No_predispuesto","Total","No_realiza","Media","Varias_salidas","Local"
"159","Dispuesto","Soltero","No_tiene","No_predispuesto","Total","No_realiza","Media","Varias_salidas","Local"
"160","No_dispuesto","Soltero","No_tiene","No_predispuesto","Total","No_realiza","Media","Varias_salidas","Local"
"161","Dispuesto","Casado","Tiene","Predispuesto","Parcial","No_realiza","Media","Varias_salidas","Local"
"162","No_dispuesto","Casado","Tiene","Predispuesto","Parcial","No_realiza","Media","Varias_salidas","Local"
"163","Dispuesto","Soltero","Tiene","Predispuesto","Parcial","No_realiza","Media","Varias_salidas","Local"
"164","No_dispuesto","Soltero","Tiene","Predispuesto","Parcial","No_realiza","Media","Varias_salidas","Local"
"165","Dispuesto","Casado","No_tiene","Predispuesto","Parcial","No_realiza","Media","Varias_salidas","Local"
"166","No_dispuesto","Casado","No_tiene","Predispuesto","Parcial","No_realiza","Media","Varias_salidas","Local"
"167","Dispuesto","Soltero","No_tiene","Predispuesto","Parcial","No_realiza","Media","Varias_salidas","Local"
"168","No_dispuesto","Soltero","No_tiene","Predispuesto","Parcial","No_realiza","Media","Varias_salidas","Local"
"169","Dispuesto","Casado","Tiene","No_predispuesto","Parcial","No_realiza","Media","Varias_salidas","Local"
"170","No_dispuesto","Casado","Tiene","No_predispuesto","Parcial","No_realiza","Media","Varias_salidas","Local"
"171","Dispuesto","Soltero","Tiene","No_predispuesto","Parcial","No_realiza","Media","Varias_salidas","Local"
"172","No_dispuesto","Soltero","Tiene","No_predispuesto","Parcial","No_realiza","Media","Varias_salidas","Local"
"173","Dispuesto","Casado","No_tiene","No_predispuesto","Parcial","No_realiza","Media","Varias_salidas","Local"
"174","No_dispuesto","Casado","No_tiene","No_predispuesto","Parcial","No_realiza","Media","Varias_salidas","Local"
"175","Dispuesto","Soltero","No_tiene","No_predispuesto","Parcial","No_realiza","Media","Varias_salidas","Local"
"176","No_dispuesto","Soltero","No_tiene","No_predispuesto","Parcial","No_realiza","Media","Varias_salidas","Local"
"177","Dispuesto","Casado","Tiene","Predispuesto","Nulo","No_realiza","Media","Varias_salidas","Local"
"178","No_dispuesto","Casado","Tiene","Predispuesto","Nulo","No_realiza","Media","Varias_salidas","Local"
"179","Dispuesto","Soltero","Tiene","Predispuesto","Nulo","No_realiza","Media","Varias_salidas","Local"
"180","No_dispuesto","Soltero","Tiene","Predispuesto","Nulo","No_realiza","Media","Varias_salidas","Local"
"181","Dispuesto","Casado","No_tiene","Predispuesto","Nulo","No_realiza","Media","Varias_salidas","Local"
"182","No_dispuesto","Casado","No_tiene","Predispuesto","Nulo","No_realiza","Media","Varias_salidas","Local"
"183","Dispuesto","Soltero","No_tiene","Predispuesto","Nulo","No_realiza","Media","Varias_salidas","Local"
"184","No_dispuesto","Soltero","No_tiene","Predispuesto","Nulo","No_realiza","Media","Varias_salidas","Local"
"185","Dispuesto","Casado","Tiene","No_predispuesto","Nulo","No_realiza","Media","Varias_salidas","Local"
"186","No_dispuesto","Casado","Tiene","No_predispuesto","Nulo","No_realiza","Media","Varias_salidas","Local"
"187","Dispuesto","Soltero","Tiene","No_predispuesto","Nulo","No_realiza","Media","Varias_salidas","Local"
"188","No_dispuesto","Soltero","Tiene","No_predispuesto","Nulo","No_realiza","Media","Varias_salidas","Local"
"189","Dispuesto","Casado","No_tiene","No_predispuesto","Nulo","No_realiza","Media","Varias_salidas","Local"
"190","No_dispuesto","Casado","No_tiene","No_predispuesto","Nulo","No_realiza","Media","Varias_salidas","Local"
"191","Dispuesto","Soltero","No_tiene","No_predispuesto","Nulo","No_realiza","Media","Varias_salidas","Local"
"192","No_dispuesto","Soltero","No_tiene","No_predispuesto","Nulo","No_realiza","Media","Varias_salidas","Local"
"193","Dispuesto","Casado","Tiene","Predispuesto","Total","Realiza","Baja","Varias_salidas","Local"
"194","No_dispuesto","Casado","Tiene","Predispuesto","Total","Realiza","Baja","Varias_salidas","Local"
"195","Dispuesto","Soltero","Tiene","Predispuesto","Total","Realiza","Baja","Varias_salidas","Local"
"196","No_dispuesto","Soltero","Tiene","Predispuesto","Total","Realiza","Baja","Varias_salidas","Local"
"197","Dispuesto","Casado","No_tiene","Predispuesto","Total","Realiza","Baja","Varias_salidas","Local"
"198","No_dispuesto","Casado","No_tiene","Predispuesto","Total","Realiza","Baja","Varias_salidas","Local"
"199","Dispuesto","Soltero","No_tiene","Predispuesto","Total","Realiza","Baja","Varias_salidas","Local"
"200","No_dispuesto","Soltero","No_tiene","Predispuesto","Total","Realiza","Baja","Varias_salidas","Local"
"201","Dispuesto","Casado","Tiene","No_predispuesto","Total","Realiza","Baja","Varias_salidas","Local"
"202","No_dispuesto","Casado","Tiene","No_predispuesto","Total","Realiza","Baja","Varias_salidas","Local"
"203","Dispuesto","Soltero","Tiene","No_predispuesto","Total","Realiza","Baja","Varias_salidas","Local"
"204","No_dispuesto","Soltero","Tiene","No_predispuesto","Total","Realiza","Baja","Varias_salidas","Local"
"205","Dispuesto","Casado","No_tiene","No_predispuesto","Total","Realiza","Baja","Varias_salidas","Local"
"206","No_dispuesto","Casado","No_tiene","No_predispuesto","Total","Realiza","Baja","Varias_salidas","Local"
"207","Dispuesto","Soltero","No_tiene","No_predispuesto","Total","Realiza","Baja","Varias_salidas","Local"
"208","No_dispuesto","Soltero","No_tiene","No_predispuesto","Total","Realiza","Baja","Varias_salidas","Local"
"209","Dispuesto","Casado","Tiene","Predispuesto","Parcial","Realiza","Baja","Varias_salidas","Local"
"210","No_dispuesto","Casado","Tiene","Predispuesto","Parcial","Realiza","Baja","Varias_salidas","Local"
"211","Dispuesto","Soltero","Tiene","Predispuesto","Parcial","Realiza","Baja","Varias_salidas","Local"
"212","No_dispuesto","Soltero","Tiene","Predispuesto","Parcial","Realiza","Baja","Varias_salidas","Local"
"213","Dispuesto","Casado","No_tiene","Predispuesto","Parcial","Realiza","Baja","Varias_salidas","Local"
"214","No_dispuesto","Casado","No_tiene","Predispuesto","Parcial","Realiza","Baja","Varias_salidas","Local"
"215","Dispuesto","Soltero","No_tiene","Predispuesto","Parcial","Realiza","Baja","Varias_salidas","Local"
"216","No_dispuesto","Soltero","No_tiene","Predispuesto","Parcial","Realiza","Baja","Varias_salidas","Local"
"217","Dispuesto","Casado","Tiene","No_predispuesto","Parcial","Realiza","Baja","Varias_salidas","Local"
"218","No_dispuesto","Casado","Tiene","No_predispuesto","Parcial","Realiza","Baja","Varias_salidas","Local"
"219","Dispuesto","Soltero","Tiene","No_predispuesto","Parcial","Realiza","Baja","Varias_salidas","Local"
"220","No_dispuesto","Soltero","Tiene","No_predispuesto","Parcial","Realiza","Baja","Varias_salidas","Local"
"221","Dispuesto","Casado","No_tiene","No_predispuesto","Parcial","Realiza","Baja","Varias_salidas","Local"
"222","No_dispuesto","Casado","No_tiene","No_predispuesto","Parcial","Realiza","Baja","Varias_salidas","Local"
"223","Dispuesto","Soltero","No_tiene","No_predispuesto","Parcial","Realiza","Baja","Varias_salidas","Local"
"224","No_dispuesto","Soltero","No_tiene","No_predispuesto","Parcial","Realiza","Baja","Varias_salidas","Local"
"225","Dispuesto","Casado","Tiene","Predispuesto","Nulo","Realiza","Baja","Varias_salidas","Local"
"226","No_dispuesto","Casado","Tiene","Predispuesto","Nulo","Realiza","Baja","Varias_salidas","Local"
"227","Dispuesto","Soltero","Tiene","Predispuesto","Nulo","Realiza","Baja","Varias_salidas","Local"
"228","No_dispuesto","Soltero","Tiene","Predispuesto","Nulo","Realiza","Baja","Varias_salidas","Local"
"229","Dispuesto","Casado","No_tiene","Predispuesto","Nulo","Realiza","Baja","Varias_salidas","Local"
"230","No_dispuesto","Casado","No_tiene","Predispuesto","Nulo","Realiza","Baja","Varias_salidas","Local"
"231","Dispuesto","Soltero","No_tiene","Predispuesto","Nulo","Realiza","Baja","Varias_salidas","Local"
"232","No_dispuesto","Soltero","No_tiene","Predispuesto","Nulo","Realiza","Baja","Varias_salidas","Local"
"233","Dispuesto","Casado","Tiene","No_predispuesto","Nulo","Realiza","Baja","Varias_salidas","Local"
"234","No_dispuesto","Casado","Tiene","No_predispuesto","Nulo","Realiza","Baja","Varias_salidas","Local"
"235","Dispuesto","Soltero","Tiene","No_predispuesto","Nulo","Realiza","Baja","Varias_salidas","Local"
"236","No_dispuesto","Soltero","Tiene","No_predispuesto","Nulo","Realiza","Baja","Varias_salidas","Local"
"237","Dispuesto","Casado","No_tiene","No_predispuesto","Nulo","Realiza","Baja","Varias_salidas","Local"
"238","No_dispuesto","Casado","No_tiene","No_predispuesto","Nulo","Realiza","Baja","Varias_salidas","Local"
"239","Dispuesto","Soltero","No_tiene","No_predispuesto","Nulo","Realiza","Baja","Varias_salidas","Local"
"240","No_dispuesto","Soltero","No_tiene","No_predispuesto","Nulo","Realiza","Baja","Varias_salidas","Local"
"241","Dispuesto","Casado","Tiene","Predispuesto","Total","No_realiza","Baja","Varias_salidas","Local"
"242","No_dispuesto","Casado","Tiene","Predispuesto","Total","No_realiza","Baja","Varias_salidas","Local"
"243","Dispuesto","Soltero","Tiene","Predispuesto","Total","No_realiza","Baja","Varias_salidas","Local"
"244","No_dispuesto","Soltero","Tiene","Predispuesto","Total","No_realiza","Baja","Varias_salidas","Local"
"245","Dispuesto","Casado","No_tiene","Predispuesto","Total","No_realiza","Baja","Varias_salidas","Local"
"246","No_dispuesto","Casado","No_tiene","Predispuesto","Total","No_realiza","Baja","Varias_salidas","Local"
"247","Dispuesto","Soltero","No_tiene","Predispuesto","Total","No_realiza","Baja","Varias_salidas","Local"
"248","No_dispuesto","Soltero","No_tiene","Predispuesto","Total","No_realiza","Baja","Varias_salidas","Local"
"249","Dispuesto","Casado","Tiene","No_predispuesto","Total","No_realiza","Baja","Varias_salidas","Local"
"250","No_dispuesto","Casado","Tiene","No_predispuesto","Total","No_realiza","Baja","Varias_salidas","Local"
"251","Dispuesto","Soltero","Tiene","No_predispuesto","Total","No_realiza","Baja","Varias_salidas","Local"
"252","No_dispuesto","Soltero","Tiene","No_predispuesto","Total","No_realiza","Baja","Varias_salidas","Local"
"253","Dispuesto","Casado","No_tiene","No_predispuesto","Total","No_realiza","Baja","Varias_salidas","Local"
"254","No_dispuesto","Casado","No_tiene","No_predispuesto","Total","No_realiza","Baja","Varias_salidas","Local"
"255","Dispuesto","Soltero","No_tiene","No_predispuesto","Total","No_realiza","Baja","Varias_salidas","Local"
"256","No_dispuesto","Soltero","No_tiene","No_predispuesto","Total","No_realiza","Baja","Varias_salidas","Local"
"257","Dispuesto","Casado","Tiene","Predispuesto","Parcial","No_realiza","Baja","Varias_salidas","Local"
"258","No_dispuesto","Casado","Tiene","Predispuesto","Parcial","No_realiza","Baja","Varias_salidas","Local"
"259","Dispuesto","Soltero","Tiene","Predispuesto","Parcial","No_realiza","Baja","Varias_salidas","Local"
"260","No_dispuesto","Soltero","Tiene","Predispuesto","Parcial","No_realiza","Baja","Varias_salidas","Local"
"261","Dispuesto","Casado","No_tiene","Predispuesto","Parcial","No_realiza","Baja","Varias_salidas","Local"
